"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
24.5,1,1,7.05608351783586
24.5,1,2,7.04933468209577
24.5,1,3,7.03902959659943
24.5,1,4,7.02517338721982
24.5,1,5,7.00777320085335
24.5,1,6,6.98683820982949
24.5,1,7,6.96237961325275
24.5,1,8,6.93441063513462
24.5,1,9,6.90294651917121
24.5,1,10,6.86800452002321
24.5,1,11,6.82960389095638
24.5,1,12,6.78776586770571
24.5,1,13,6.74251364843206
24.5,1,14,6.69387236964986
24.5,1,15,6.64186907801478
24.5,1,16,6.58653269787497
24.5,1,17,6.52789399450553
24.5,1,18,6.46598553296499
24.5,1,19,6.40084163253448
24.5,1,20,6.33249831672417
24.5,1,21,6.26099325885833
24.5,1,22,6.18636572327904
24.5,1,23,6.10865650223914
24.5,1,24,6.02790784858741
24.5,1,25,5.94416340438272
24.5,1,26,5.85746812560818
24.5,1,27,5.76786820319164
24.5,1,28,5.67541098057381
24.5,1,29,5.58014486809975
24.5,1,30,5.48211925454358
24.5,1,31,5.38138441610778
24.5,1,32,5.27799142326906
24.5,1,33,5.17199204587037
24.5,1,34,5.06343865688324
24.5,1,35,4.95238413528643
24.5,1,36,4.83888176852434
24.5,1,37,4.7229851550231
24.5,1,38,4.60474810725187
24.5,1,39,4.48422455582292
24.5,1,40,4.36146845512604
24.5,1,41,4.23653369099066
24.5,1,42,4.10947399086357
24.5,1,43,3.9803428369813
24.5,1,44,3.84919338300432
24.5,1,45,3.71607837456675
24.5,1,46,3.58105007417903
24.5,1,47,3.44416019090496
24.5,1,48,3.305459815217
24.5,1,49,3.16499935941716
24.5,1,50,3.02282850399456
24.5,1,51,2.87899615027653
24.5,1,52,2.73355037971663
24.5,1,53,2.58653842015295
24.5,1,54,2.43800661936093
24.5,1,55,2.28800042621922
24.5,1,56,2.13656437980234
24.5,1,57,1.98374210671176
24.5,1,58,1.82957632695489
24.5,1,59,1.67410886868008
24.5,1,60,1.51738069207284
24.5,1,61,1.35943192271365
24.5,1,62,1.20030189468862
24.5,1,63,1.04002920372983
24.5,1,64,0.878651770640349
24.5,1,65,0.71620691522766
24.5,1,66,0.552731440926447
24.5,1,67,0.388261730235833
24.5,1,68,0.222833851024408
24.5,1,69,0.0564836736676392
24.5,1,70,-0.110753001126022
24.5,1,71,-0.278840304072495
24.5,1,72,-0.447742149075983
24.5,1,73,-0.617422075595554
24.5,1,74,-0.787843082407065
24.5,1,75,-0.958967453771876
24.5,1,76,-1.13075657926463
24.5,1,77,-1.30317076877282
24.5,1,78,-1.47616906445826
24.5,1,79,-1.64970905176157
24.5,1,80,-1.82374667182907
24.5,1,81,-1.99823603804231
24.5,1,82,-2.17312925962435
24.5,1,83,-2.34837627557562
24.5,1,84,-2.52392470244444
24.5,1,85,-2.69971969965028
24.5,1,86,-2.87570385623796
24.5,1,87,-3.05181710303279
24.5,1,88,-3.22799665417315
24.5,1,89,-3.40417698190162
24.5,1,90,-3.58028982828049
24.5,1,91,-3.75626425714518
24.5,1,92,-3.93202674910463
24.5,1,93,-4.10750134172663
24.5,1,94,-4.28260981619908
24.5,1,95,-4.45727193072941
24.5,1,96,-4.63140569973516
24.5,1,97,-4.80492771649591
24.5,1,98,-4.97775351539902
24.5,1,99,-5.14979796824323
24.5,1,100,-5.32097570730389
24.5,1,101,-5.4912015660578
24.5,1,102,-5.66039102667281
24.5,1,103,-5.82846066165523
24.5,1,104,-5.99532855549154
24.5,1,105,-6.16091469080117
24.5,1,106,-6.32514128251761
24.5,1,107,-6.487933043017
24.5,1,108,-6.64921736099504
24.5,1,109,-6.80892437732042
24.5,1,110,-6.96698694212286
24.5,1,111,-7.12334043904281
24.5,1,112,-7.27792246489857
24.5,1,113,-7.43067235601489
24.5,1,114,-7.58153055608225
24.5,1,115,-7.7304378246393
24.5,1,116,-7.87733429003202
24.5,1,117,-8.02215835592875
24.5,1,118,-8.16484547607374
24.5,1,119,-8.30532681784464
24.5,1,120,-8.44352784123683
24.5,1,121,-8.57936682601087
24.5,1,122,-8.71275338578322
24.5,1,123,-8.8435870136688
24.5,1,124,-8.97175570953022
24.5,1,125,-9.09713474375706
24.5,1,126,-9.21958561654942
24.5,1,127,-9.33895527463478
24.5,1,128,-9.45507564886803
24.5,1,129,-9.56776357587306
24.5,1,130,-9.67682116435508
24.5,1,131,-9.78203666150827
24.5,1,132,-9.88318586663732
24.5,1,133,-9.98003412734422
24.5,1,134,-10.072338938169
24.5,1,135,-10.1598531423799
24.5,1,136,-10.2423287149211
24.5,1,137,-10.3195210789253
24.5,1,138,-10.3911938806565
24.5,1,139,-10.4571241196329
24.5,1,140,-10.5171075037494
24.5,1,141,-10.5709638754778
24.5,1,142,-10.6185425368245
24.5,1,143,-10.6597272897188
24.5,1,144,-10.6944410066028
24.5,1,145,-10.7226495543416
24.5,1,146,-10.7443649135138
24.5,1,147,-10.7596473640957
24.5,1,148,-10.7686066459879
24.5,1,149,-10.7714020463505
24.5,1,150,-10.7682414123038
24.5,1,151,-10.7593791338381
24.5,1,152,-10.7451131844728
24.5,1,153,-10.7257813433772
24.5,1,154,-10.7017567500969
24.5,1,155,-10.6734429603815
24.5,1,156,-10.6412686785064
24.5,1,157,-10.6056823384549
24.5,1,158,-10.5671466946506
24.5,1,159,-10.5261335644281
24.5,1,160,-10.4831188411819
24.5,1,161,-10.4385778712714
24.5,1,162,-10.392981261248
24.5,1,163,-10.3467911564704
24.5,1,164,-10.300458008946
24.5,1,165,-10.2544178321438
24.5,1,166,-10.2090899240255
24.5,1,167,-10.1648750267584
24.5,1,168,-10.1221538823697
24.5,1,169,-10.0812861376466
24.5,1,170,-10.0426095484272
24.5,1,171,-10.0064394325688
24.5,1,172,-9.97306832182057
24.5,1,173,-9.94276576508659
24.5,1,174,-9.91577823872885
24.5,1,175,-9.89232912328236
24.5,1,176,-9.87261870994497
24.5,1,177,-9.85682420426592
24.5,1,178,-9.84509969843726
24.5,1,179,-9.83757608740985
24.5,1,180,-9.83436090767323
24.5,2,0,7.05927299163272
24.5,2,1,7.0557761778083
24.5,2,2,7.04872033067705
24.5,2,3,7.03810867433932
24.5,2,4,7.02394645234368
24.5,2,5,7.00624093456094
24.5,2,6,6.98500142105593
24.5,2,7,6.96023924281925
24.5,2,8,6.93196775922007
24.5,2,9,6.90020235204063
24.5,2,10,6.86496041595466
24.5,2,11,6.82626134531573
24.5,2,12,6.78412651712654
24.5,2,13,6.73857927006845
24.5,2,14,6.68964487948025
24.5,2,15,6.63735052818778
24.5,2,16,6.58172527310089
24.5,2,17,6.52280000751188
24.5,2,18,6.46060741904948
24.5,2,19,6.3951819432647
24.5,2,20,6.32655971285013
24.5,2,21,6.25477850252075
24.5,2,22,6.17987766961385
24.5,2,23,6.10189809049598
24.5,2,24,6.0208820928974
24.5,2,25,5.93687338432756
24.5,2,26,5.84991697675924
24.5,2,27,5.76005910780303
24.5,2,28,5.66734715862811
24.5,2,29,5.57182956891806
24.5,2,30,5.4735557491828
24.5,2,31,5.37257599077782
24.5,2,32,5.26894137400986
24.5,2,33,5.16270367473355
24.5,2,34,5.05391526986545
24.5,2,35,4.94262904226094
24.5,2,36,4.8288982854141
24.5,2,37,4.71277660845153
24.5,2,38,4.59431784189835
24.5,2,39,4.47357594469699
24.5,2,40,4.35060491295858
24.5,2,41,4.22545869092177
24.5,2,42,4.09819108458576
24.5,2,43,3.96885567847302
24.5,2,44,3.83750575596383
24.5,2,45,3.70419422362941
24.5,2,46,3.56897353997389
24.5,2,47,3.43189564897862
24.5,2,48,3.29301191882547
24.5,2,49,3.15237308616026
24.5,2,50,3.01002920624287
24.5,2,51,2.86602960931863
24.5,2,52,2.72042286353557
24.5,2,53,2.57325674472486
24.5,2,54,2.42457821335748
24.5,2,55,2.27443339898794
24.5,2,56,2.12286759249606
24.5,2,57,1.96992524644
24.5,2,58,1.8156499838357
24.5,2,59,1.66008461568057
24.5,2,60,1.50327116753927
24.5,2,61,1.345250915507
24.5,2,62,1.18606443185782
24.5,2,63,1.02575164067059
24.5,2,64,0.864351883701473
24.5,2,65,0.701903996737123
24.5,2,66,0.538446396613731
24.5,2,67,0.374017179023559
24.5,2,68,0.208654227148238
24.5,2,69,0.0423953310565806
24.5,2,70,-0.124721682318755
24.5,2,71,-0.292658808957879
24.5,2,72,-0.461377717786334
24.5,2,73,-0.630839591662041
24.5,2,74,-0.80100496023507
24.5,2,75,-0.971833525843204
24.5,2,76,-1.14328398387332
24.5,2,77,-1.31531383930591
24.5,2,78,-1.48787922146389
24.5,2,79,-1.66093469930268
24.5,2,80,-1.83443309990008
24.5,2,81,-2.00832533312439
24.5,2,82,-2.18256022576812
24.5,2,83,-2.35708436872233
24.5,2,84,-2.53184198101988
24.5,2,85,-2.70677479478157
24.5,2,86,-2.88182196524112
24.5,2,87,-3.05692001008653
24.5,2,88,-3.2320027823185
24.5,2,89,-3.40700148067367
24.5,2,90,-3.58184470137171
24.5,2,91,-3.75645853450498
24.5,2,92,-3.93076670778089
24.5,2,93,-4.10469077953851
24.5,2,94,-4.27815038198332
24.5,2,95,-4.45106351441605
24.5,2,96,-4.62334688487634
24.5,2,97,-4.79491629709371
24.5,2,98,-4.96568707795883
24.5,2,99,-5.13557453893089
24.5,2,100,-5.30449446292609
24.5,2,101,-5.47236360634205
24.5,2,102,-5.63910020403019
24.5,2,103,-5.80462446330472
24.5,2,104,-5.96885903155469
24.5,2,105,-6.13172942078712
24.5,2,106,-6.2931643715596
24.5,2,107,-6.45309613833711
24.5,2,108,-6.61146067840284
24.5,2,109,-6.76819772712387
24.5,2,110,-6.92325074366074
24.5,2,111,-7.07656671313921
24.5,2,112,-7.22809579387343
24.5,2,113,-7.37779080142386
24.5,2,114,-7.52560652504938
24.5,2,115,-7.67149887641498
24.5,2,116,-7.81542387516933
24.5,2,117,-7.95733648112887
24.5,2,118,-8.09718928820403
24.5,2,119,-8.23493110078571
24.5,2,120,-8.37050541897998
24.5,2,121,-8.50384886473802
24.5,2,122,-8.63488958647763
24.5,2,123,-8.76354568512297
24.5,2,124,-8.88972370947873
24.5,2,125,-9.01331727335829
24.5,2,126,-9.13420585072288
24.5,2,127,-9.25225380804106
24.5,2,128,-9.36730973487148
24.5,2,129,-9.47920613398446
24.5,2,130,-9.58775953079437
24.5,2,131,-9.69277105806646
24.5,2,132,-9.79402756536747
24.5,2,133,-9.89130329315715
24.5,2,134,-9.98436213845632
24.5,2,135,-10.0729605225101
24.5,2,136,-10.1568508508453
24.5,2,137,-10.2357855329377
24.5,2,138,-10.3095215030539
24.5,2,139,-10.3778251567878
24.5,2,140,-10.4404775908368
24.5,2,141,-10.4972800084512
24.5,2,142,-10.5480591317504
24.5,2,143,-10.5926724467858
24.5,2,144,-10.631013099737
24.5,2,145,-10.6630142644309
24.5,2,146,-10.6886528133147
24.5,2,147,-10.7079521461249
24.5,2,148,-10.7209840618746
24.5,2,149,-10.7278695986557
24.5,2,150,-10.728778809557
24.5,2,151,-10.7239294886698
24.5,2,152,-10.7135849054323
24.5,2,153,-10.6980506453271
24.5,2,154,-10.6776706875938
24.5,2,155,-10.6528228742504
24.5,2,156,-10.6239139383549
24.5,2,157,-10.5913742630115
24.5,2,158,-10.5556525368891
24.5,2,159,-10.5172104584139
24.5,2,160,-10.4765176211693
24.5,2,161,-10.4340466894467
24.5,2,162,-10.3902689473654
24.5,2,163,-10.3456502793314
24.5,2,164,-10.3006476153432
24.5,2,165,-10.2557058528647
24.5,2,166,-10.2112552484004
24.5,2,167,-10.1677092568571
24.5,2,168,-10.125462785311
24.5,2,169,-10.0848908197128
24.5,2,170,-10.0463473780072
24.5,2,171,-10.0101647406626
24.5,2,172,-9.97665290921493
24.5,2,173,-9.94609924464601
24.5,2,174,-9.91876823979695
24.5,2,175,-9.89490138317791
24.5,2,176,-9.87471707515547
24.5,2,177,-9.85841056132966
24.5,2,178,-9.84615385177181
24.5,2,179,-9.83809559856181
24.5,2,180,-9.83436090767323
24.5,3,0,7.05927299163272
24.5,3,1,7.05546927021158
24.5,3,2,7.04810666405131
24.5,3,3,7.0371885116262
24.5,3,4,7.02272017802633
24.5,3,5,7.00470906134614
24.5,3,6,6.98316459598669
24.5,3,7,6.95809825273618
24.5,3,8,6.92952353549377
24.5,3,9,6.8974559745025
24.5,3,10,6.86191311596025
24.5,3,11,6.82291450788278
24.5,3,12,6.78048168209956
24.5,3,13,6.73463813227262
24.5,3,14,6.68540928783964
24.5,3,15,6.63282248379673
24.5,3,16,6.57690692625216
24.5,3,17,6.51769365370112
24.5,3,18,6.4552154939925
24.5,3,19,6.38950701698188
24.5,3,20,6.32060448289054
24.5,3,21,6.24854578641765
24.5,3,22,6.17337039668195
24.5,3,23,6.09511929310039
24.5,3,24,6.0138348973426
24.5,3,25,5.92956100153331
24.5,3,26,5.84234269290775
24.5,3,27,5.7522262751581
24.5,3,28,5.6592591867419
24.5,3,29,5.5634899164545
24.5,3,30,5.46496791659786
24.5,3,31,5.36374351410588
24.5,3,32,5.25986782001163
24.5,3,33,5.1533926376647
24.5,3,34,5.04437037012557
24.5,3,35,4.93285392717965
24.5,3,36,4.81889663242497
24.5,3,37,4.70255213089525
24.5,3,38,4.58387429768321
24.5,3,39,4.46291714802881
24.5,3,40,4.33973474933252
24.5,3,41,4.21438113554604
24.5,3,42,4.08691022438209
24.5,3,43,3.95737573777148
24.5,3,44,3.8258311259803
24.5,3,45,3.69232949578383
24.5,3,46,3.55692354307643
24.5,3,47,3.41966549028015
24.5,3,48,3.28060702889857
24.5,3,49,3.13979926754878
24.5,3,50,2.99729268579158
24.5,3,51,2.85313709407133
24.5,3,52,2.70738160007035
24.5,3,53,2.56007458177942
24.5,3,54,2.41126366758645
24.5,3,55,2.26099572368764
24.5,3,56,2.10931684913111
24.5,3,57,1.95627237880921
24.5,3,58,1.80190689472303
24.5,3,59,1.64626424584865
24.5,3,60,1.48938757693855
24.5,3,61,1.33131936659076
24.5,3,62,1.17210147491178
24.5,3,63,1.01177520108363
24.5,3,64,0.850381351119433
24.5,3,65,0.687960316052469
24.5,3,66,0.524552160748697
24.5,3,67,0.360196723459783
24.5,3,68,0.194933726140409
24.5,3,69,0.0288028954382416
24.5,3,70,-0.138155905874736
24.5,3,71,-0.305902537425676
24.5,3,72,-0.474396430307003
24.5,3,73,-0.643596427491063
24.5,3,74,-0.813460616643883
24.5,3,75,-0.983946156658615
24.5,3,76,-1.1550090995223
24.5,3,77,-1.32660420944283
24.5,3,78,-1.49868478149185
24.5,3,79,-1.67120246235831
24.5,3,80,-1.84410707614899
24.5,3,81,-2.01734645850838
24.5,3,82,-2.19086630264959
24.5,3,83,-2.36461002117926
24.5,3,84,-2.5385186278483
24.5,3,85,-2.71253064355093
24.5,3,86,-2.88658203101115
24.5,3,87,-3.0606061626187
24.5,3,88,-3.23453382578756
24.5,3,89,-3.40829326999027
24.5,3,90,-3.58181029925095
24.5,3,91,-3.75500841334255
24.5,3,92,-3.92780900021493
24.5,3,93,-4.10013158126762
24.5,3,94,-4.27189410997119
24.5,3,95,-4.4430133230325
24.5,3,96,-4.61340514180277
24.5,3,97,-4.78298511996112
24.5,3,98,-4.95166893169855
24.5,3,99,-5.11937289271936
24.5,3,100,-5.28601450441955
24.5,3,101,-5.45151300965671
24.5,3,102,-5.61578994666647
24.5,3,103,-5.77876968598412
24.5,3,104,-5.94037993378229
24.5,3,105,-6.10055218392013
24.5,3,106,-6.2592221002993
24.5,3,107,-6.41632981091048
24.5,3,108,-6.57182009529488
24.5,3,109,-6.72564244808279
24.5,3,110,-6.87775100283526
24.5,3,111,-7.02810430260817
24.5,3,112,-7.17666490646682
24.5,3,113,-7.32339882456212
24.5,3,114,-7.46827477828248
24.5,3,115,-7.61126328634163
24.5,3,116,-7.75233558237075
24.5,3,117,-7.89146237455963
24.5,3,118,-8.02861246304684
24.5,3,119,-8.16375123600159
24.5,3,120,-8.29683907058897
24.5,3,121,-8.42782967018513
24.5,3,122,-8.55666837423958
24.5,3,123,-8.68329048199102
24.5,3,124,-8.80761963575195
24.5,3,125,-8.92956631358532
24.5,3,126,-9.04902648477742
24.5,3,127,-9.16588048439927
24.5,3,128,-9.27999216522779
24.5,3,129,-9.39120838609862
24.5,3,130,-9.49935889505592
24.5,3,131,-9.60425666307482
24.5,3,132,-9.70569871925127
24.5,3,133,-9.80346753077095
24.5,3,134,-9.89733296031761
24.5,3,135,-9.98705481959274
24.5,3,136,-10.0723860201919
24.5,3,137,-10.1530763023562
24.5,3,138,-10.228876498531
24.5,3,139,-10.2995432630278
24.5,3,140,-10.3648441725698
24.5,3,141,-10.4245630766708
24.5,3,142,-10.4785055534712
24.5,3,143,-10.5265043078414
24.5,3,144,-10.5684243362287
24.5,3,145,-10.6041676785973
24.5,3,146,-10.6336775831449
24.5,3,147,-10.6569419248261
24.5,3,148,-10.6739957437988
24.5,3,149,-10.6849228035524
24.5,3,150,-10.6898561086548
24.5,3,151,-10.6889773660754
24.5,3,152,-10.6825154188065
24.5,3,153,-10.6707437228401
24.5,3,154,-10.6539769755596
24.5,3,155,-10.6325670329241
24.5,3,156,-10.6068982729093
24.5,3,157,-10.5773825728431
24.5,3,158,-10.5444540687516
24.5,3,159,-10.5085638565858
24.5,3,160,-10.4701747797867
24.5,3,161,-10.4297564269625
24.5,3,162,-10.3877804395154
24.5,3,163,-10.3447162038062
24.5,3,164,-10.3010269775503
24.5,3,165,-10.2571664769704
24.5,3,166,-10.2135759307251
24.5,3,167,-10.1706815893882
24.5,3,168,-10.128892665502
24.5,3,169,-10.0885996689324
24.5,3,170,-10.0501730951746
24.5,3,171,-10.0139624200062
24.5,3,172,-9.98029535201795
24.5,3,173,-9.94947729457429
24.5,3,174,-9.92179097022867
24.5,3,175,-9.8974961631094
24.5,3,176,-9.87682953794992
24.5,3,177,-9.86000449797348
24.5,3,178,-9.84721104753136
24.5,3,179,-9.8386156290807
24.5,3,180,-9.83436090767323
24.5,4,0,7.05927299163272
24.5,4,1,7.05516288843941
24.5,4,2,7.04749386846451
24.5,4,3,7.03626938649181
24.5,4,4,7.02149493245814
24.5,4,5,7.00317803733586
24.5,4,6,6.98132827583579
24.5,4,7,6.95595726579807
24.5,4,8,6.92707866413997
24.5,4,9,6.89470815923216
24.5,4,10,6.85886345957993
24.5,4,11,6.81956427869215
24.5,4,12,6.77683231602941
24.5,4,13,6.73069123393342
24.5,4,14,6.68116663045288
24.5,4,15,6.62828600799595
24.5,4,16,6.57207873775724
24.5,4,17,6.51257601988685
24.5,4,18,6.44981083939107
24.5,4,19,6.38381791777852
24.5,4,20,6.31463366049148
24.5,4,21,6.24229610019035
24.5,4,22,6.16684483598824
24.5,4,23,6.08832096876366
24.5,4,24,6.00676703271078
24.5,4,25,5.92222692331846
24.5,4,26,5.8347458220021
24.5,4,27,5.74437011764317
24.5,4,28,5.65114732532298
24.5,4,29,5.55512600256614
24.5,4,30,5.45635566343711
24.5,4,31,5.35488669085815
24.5,4,32,5.25077024753985
24.5,4,33,5.14405818593411
24.5,4,34,5.03480295763557
24.5,4,35,4.92305752266882
24.5,4,36,4.80887525910706
24.5,4,37,4.69230987347118
24.5,4,38,4.5734153123581
24.5,4,39,4.45224567574331
24.5,4,40,4.32885513239432
24.5,4,41,4.20329783782134
24.5,4,42,4.07562785517771
24.5,4,43,3.94589907950702
24.5,4,44,3.81416516571689
24.5,4,45,3.68047946064214
24.5,4,46,3.54489493954205
24.5,4,47,3.40746414736101
24.5,4,48,3.26823914506615
24.5,4,49,3.12727146136406
24.5,4,50,2.98461205008912
24.5,4,51,2.84031125355001
24.5,4,52,2.69441877211905
24.5,4,53,2.54698364035022
24.5,4,54,2.39805420991706
24.5,4,55,2.24767813966954
24.5,4,56,2.09590239311964
24.5,4,57,1.94277324367712
24.5,4,58,1.78833628796883
24.5,4,59,1.63263646758538
24.5,4,60,1.47571809960587
24.5,4,61,1.31762491625295
24.5,4,62,1.15840011402454
24.5,4,63,0.998086412631838
24.5,4,64,0.836726124044777
24.5,4,65,0.674361231901341
24.5,4,66,0.511033481475279
24.5,4,67,0.346784480314089
24.5,4,68,0.181655809553891
24.5,4,69,0.0156891457877905
24.5,4,70,-0.151073606792202
24.5,4,71,-0.318590174443971
24.5,4,72,-0.486817762791833
24.5,4,73,-0.655712897529222
24.5,4,74,-0.825231258094889
24.5,4,75,-0.995327505805323
24.5,4,76,-1.16595510824442
24.5,4,77,-1.33706616204963
24.5,4,78,-1.50861121658569
24.5,4,79,-1.68053910135691
24.5,4,80,-1.8527967603676
24.5,4,81,-2.02532909698827
24.5,4,82,-2.19807883321057
24.5,4,83,-2.37098638746316
24.5,4,84,-2.54398977539868
24.5,4,85,-2.71702453823121
24.5,4,86,-2.89002370328658
24.5,4,87,-3.0629177814045
24.5,4,88,-3.2356348056822
24.5,4,89,-3.40810041575422
24.5,4,90,-3.58023799134349
24.5,4,91,-3.75196883817808
24.5,4,92,-3.92321242853305
24.5,4,93,-4.09388669761814
24.5,4,94,-4.2639083957884
24.5,4,95,-4.43319349511017
24.5,4,96,-4.60165764718425
24.5,4,97,-4.76921668733539
24.5,4,98,-4.93578717835924
24.5,4,99,-5.10128698502043
24.5,4,100,-5.26563586847852
24.5,4,101,-5.42875608785041
24.5,4,102,-5.59057299427617
24.5,4,103,-5.75101560122404
24.5,4,104,-5.91001711343465
24.5,4,105,-6.06751539595016
24.5,4,106,-6.22345336417747
24.5,4,107,-6.37777927596458
24.5,4,108,-6.5304469072772
24.5,4,109,-6.6814155942816
24.5,4,110,-6.83065012648126
24.5,4,111,-6.97812047800625
24.5,4,112,-7.12380136718217
24.5,4,113,-7.26767163805155
24.5,4,114,-7.40971346151396
24.5,4,115,-7.54991135810276
